countType,count,recentRound,recentDate,no1,no2,no3,no4
2,21,1208,20260124,6,38,,
2,20,1213,20260228,27,38,,
2,19,1190,20250920,7,19,,
2,19,1210,20260207,7,38,,
2,19,1222,20260502,11,17,,
2,19,1169,20250426,12,42,,
2,19,1215,20260314,19,21,,
2,18,1194,20251018,3,13,,
2,18,1202,20251213,5,12,,
2,18,1221,20260425,6,28,,
2,18,1176,20250614,11,21,,
2,18,1169,20250426,12,24,,
2,18,1210,20260207,17,27,,
2,18,1176,20250614,21,35,,
2,18,1198,20251115,33,38,,
2,18,1170,20250503,34,42,,
2,17,1213,20260228,5,11,,
2,17,1178,20250628,6,11,,
2,17,1171,20250510,7,12,,
2,17,1161,20250301,12,34,,
2,17,1221,20260425,13,28,,
2,17,1193,20251011,16,19,,
2,17,1205,20260103,16,31,,
2,17,1123,20240608,21,34,,
2,17,1215,20260314,21,44,,
2,17,1214,20260307,30,33,,
2,17,1198,20251115,30,41,,
2,17,1202,20251213,33,40,,
2,17,1145,20241109,33,44,,
2,17,1198,20251115,38,39,,
2,16,1219,20260411,1,28,,
2,16,1120,20240518,2,19,,
2,16,1163,20250315,2,33,,
2,16,1188,20250906,3,12,,
2,16,1171,20250510,6,7,,
2,16,1221,20260425,6,18,,
2,16,1135,20240831,6,21,,
2,16,1210,20260207,7,9,,
2,16,1140,20241005,7,22,,
2,16,1217,20260328,10,31,,
2,16,1207,20260117,10,38,,
2,16,1178,20250628,11,44,,
2,16,1169,20250426,12,26,,
2,16,1216,20260321,14,15,,
2,16,1216,20260321,15,24,,
2,16,1199,20251122,16,24,,
2,16,1204,20251227,16,28,,
2,16,1155,20250118,16,38,,
2,16,1207,20260117,24,45,,
2,16,1156,20250125,30,34,,
2,16,1198,20251115,30,39,,
2,16,1212,20260221,31,41,,
2,15,1131,20240803,2,6,,
2,15,1188,20250906,3,22,,
2,15,1195,20251025,3,33,,
2,15,1193,20251011,6,16,,
2,15,1185,20250816,6,17,,
2,15,1193,20251011,6,19,,
2,15,1180,20250712,6,37,,
2,15,1176,20250614,7,11,,
2,15,1201,20251206,7,24,,
2,15,1092,20231104,7,33,,
2,15,1149,20241207,8,19,,
2,15,1181,20250719,8,33,,
2,15,1174,20250531,8,39,,
2,15,1192,20251004,10,16,,
2,15,1202,20251213,12,33,,
2,15,1169,20250426,12,39,,
2,15,1191,20250927,12,41,,
2,15,1187,20250830,13,29,,
2,15,1194,20251018,13,33,,
2,15,1215,20260314,15,21,,
2,15,1130,20240727,15,25,,
2,15,1195,20251025,15,34,,
2,15,1164,20250322,17,18,,
2,15,1207,20260117,24,27,,
2,15,1218,20260404,28,42,,
2,15,1176,20250614,30,35,,
2,15,1218,20260404,31,32,,
2,15,1137,20240914,33,45,,
2,14,1191,20250927,1,12,,
2,14,1200,20251129,2,16,,
2,14,1220,20260418,2,28,,
2,14,1216,20260321,3,15,,
2,14,1179,20250705,3,16,,
2,14,1216,20260321,3,24,,
2,14,1170,20250503,3,38,,
2,14,1191,20250927,4,12,,
2,14,1137,20240914,4,33,,
2,14,1180,20250712,6,12,,
2,14,1201,20251206,7,35,,
2,14,1174,20250531,8,17,,
2,14,1149,20241207,8,21,,
2,14,1168,20250419,9,33,,
2,14,1153,20250104,10,13,,
2,14,1153,20250104,10,35,,
2,14,1176,20250614,11,35,,
2,14,1055,20230218,12,14,,
2,14,1196,20251101,12,15,,
2,14,1188,20250906,12,19,,
2,14,1098,20231216,12,43,,
2,14,1196,20251101,12,45,,
2,14,1170,20250503,13,38,,
2,14,1215,20260314,13,45,,
2,14,1184,20250809,14,16,,
2,14,1166,20250405,14,27,,
2,14,1125,20240622,14,40,,
2,14,1215,20260314,15,19,,
2,14,1216,20260321,15,23,,
2,14,1214,20260307,15,33,,
2,14,1045,20221210,15,41,,
2,14,1098,20231216,16,21,,
2,14,1021,20220625,17,45,,
2,14,1087,20230930,18,34,,
2,14,1203,20251220,18,35,,
2,14,1223,20260509,18,39,,
2,14,1160,20250222,18,45,,
2,14,1215,20260314,19,45,,
2,14,1223,20260509,20,33,,
2,14,1149,20241207,21,36,,
2,14,1213,20260228,27,36,,
2,14,1207,20260117,27,45,,
2,14,1221,20260425,28,30,,
2,14,1093,20231111,35,43,,
2,14,1207,20260117,38,45,,
2,14,1219,20260411,39,45,,
2,13,1205,20260103,1,4,,
2,13,1205,20260103,1,23,,
2,13,1219,20260411,1,39,,
2,13,1220,20260418,2,22,,
2,13,1188,20250906,3,4,,
2,13,1203,20251220,3,6,,
2,13,1216,20260321,3,10,,
2,13,1206,20260110,3,27,,
2,13,1187,20250830,5,13,,
2,13,1221,20260425,6,30,,
2,13,1132,20240810,6,34,,
2,13,1160,20250222,7,13,,
2,13,1177,20250621,7,16,,
2,13,1165,20250329,7,29,,
2,13,1132,20240810,7,34,,
2,13,1201,20251206,7,36,,
2,13,1172,20250517,7,44,,
2,13,1196,20251101,8,45,,
2,13,1216,20260321,10,14,,
2,13,1143,20241026,10,28,,
2,13,1118,20240504,11,16,,
2,13,1145,20241109,11,33,,
2,13,1196,20251101,12,29,,
2,13,1221,20260425,13,18,,
2,13,1221,20260425,13,36,,
2,13,1160,20250222,13,39,,
2,13,1174,20250531,14,36,,
2,13,1148,20241130,15,22,,
2,13,1177,20250621,15,43,,
2,13,1219,20260411,15,45,,
2,13,1192,20251004,16,36,,
2,13,1204,20251227,16,44,,
2,13,1183,20250802,17,23,,
2,13,1087,20230930,18,21,,
2,13,1221,20260425,18,30,,
2,13,1108,20240224,19,39,,
2,13,1177,20250621,19,43,,
2,13,1113,20240330,20,44,,
2,13,1182,20250726,21,25,,
2,13,1158,20250208,21,27,,
2,13,1176,20250614,21,30,,
2,13,1202,20251213,21,33,,
2,13,1202,20251213,21,37,,
2,13,1098,20231216,21,41,,
2,13,1207,20260117,22,38,,
2,13,1169,20250426,24,39,,
2,13,1125,20240622,25,33,,
2,13,1211,20260214,26,27,,
2,13,1112,20240323,26,36,,
2,13,1211,20260214,26,38,,
2,13,1170,20250503,28,38,,
2,13,1138,20240921,29,34,,
2,13,1204,20251227,30,31,,
2,13,1140,20241005,31,38,,
2,13,1202,20251213,33,37,,
2,13,1123,20240608,34,35,,
2,13,1211,20260214,35,38,,
2,13,1202,20251213,37,40,,
2,13,1108,20240224,39,44,,
2,13,1179,20250705,40,44,,
2,12,1205,20260103,1,16,,
2,12,1219,20260411,1,45,,
2,12,1145,20241109,2,11,,
2,12,1186,20250823,2,13,,
2,12,1220,20260418,2,25,,
2,12,1151,20241221,2,27,,
2,12,1220,20260418,2,34,,
2,12,1219,20260411,2,39,,
2,12,1219,20260411,2,45,,
2,12,1177,20250621,3,7,,
2,12,1159,20250215,3,9,,
2,12,1216,20260321,3,14,,
2,12,1195,20251025,3,34,,
2,12,1218,20260404,3,42,,
2,12,1175,20250607,4,8,,
2,12,1222,20260502,4,32,,
2,12,1042,20221119,5,14,,
2,12,1129,20240720,5,34,,
2,12,1221,20260425,6,13,,
2,12,1185,20250816,6,22,,
2,12,1221,20260425,6,36,,
2,12,1203,20251220,6,39,,
2,12,1180,20250712,6,41,,
2,12,1177,20250621,7,15,,
2,12,1160,20250222,7,18,,
2,12,1197,20251108,7,26,,
2,12,1132,20240810,7,41,,
2,12,1186,20250823,8,13,,
2,12,1204,20251227,8,16,,
2,12,1204,20251227,8,28,,
2,12,1217,20260328,8,31,,
2,12,1196,20251101,8,40,,
2,12,1137,20240914,9,12,,
2,12,1150,20241214,9,18,,
2,12,1201,20251206,9,24,,
2,12,1201,20251206,9,35,,
2,12,1210,20260207,9,38,,
2,12,1069,20230527,10,18,,
2,12,1214,20260307,10,19,,
2,12,1207,20260117,10,22,,
2,12,1214,20260307,10,33,,
2,12,1192,20251004,10,36,,
2,12,1213,20260228,11,27,,
2,12,1186,20250823,13,16,,
2,12,1194,20251018,13,24,,
2,12,1182,20250726,13,31,,
2,12,1187,20250830,13,40,,
2,12,1087,20230930,14,18,,
2,12,1102,20240113,14,26,,
2,12,1133,20240817,14,28,,
2,12,1131,20240803,14,38,,
2,12,1177,20250621,15,16,,
2,12,1199,20251122,16,25,,
2,12,1223,20260509,16,39,,
2,12,1177,20250621,16,43,,
2,12,1048,20221231,17,21,,
2,12,1209,20260131,17,39,,
2,12,1179,20250705,18,24,,
2,12,1014,20220507,18,27,,
2,12,1164,20250322,18,38,,
2,12,1089,20231014,18,42,,
2,12,1179,20250705,18,44,,
2,12,1190,20250920,19,23,,
2,12,1193,20251011,19,24,,
2,12,1214,20260307,19,27,,
2,12,1214,20260307,19,33,,
2,12,1141,20241012,21,26,,
2,12,1158,20250208,21,32,,
2,12,1140,20241005,22,31,,
2,12,1222,20260502,22,32,,
2,12,1220,20260418,22,34,,
2,12,1222,20260502,22,41,,
2,12,1216,20260321,23,24,,
2,12,1194,20251018,24,33,,
2,12,1201,20251206,24,35,,
2,12,1179,20250705,24,44,,
2,12,1213,20260228,25,36,,
2,12,1220,20260418,25,43,,
2,12,1198,20251115,26,33,,
2,12,1144,20241102,26,34,,
2,12,1166,20250405,27,29,,
2,12,1211,20260214,27,35,,
2,12,1220,20260418,28,34,,
2,12,1221,20260425,28,36,,
